PRODUCT,LEGACY PRODUCT,DESCRIPTION,UPC,QTY ORD,QTY,PRICE,UNIT ALLOW,NET PRICE,EXT US($)
K5591900,BWMMCS5.5,BWM SERUM AND CALM CONCLR MED GOLD,800897242328,30,30,7.20,2.40,4.80,144.00
K5592000,BWMMCS5.7,BWM SERUM AND CALM CONCLR LT,800897242335,30,30,7.20,2.40,4.80,144.00
K3438601,BWMSP01,BARE WITH ME PRIME SET REFRSH SPRAY,800897182344,144,144,6.00,2.00,4.00,576.00
K5805900,CCS06,PRO FIX STICK NATURAL,800897249416,60,0,0.00,0.00,0.00,0.00
K5805600,CCS09,PRO FIX STICK NEUTRAL TAN,800897249379,60,60,5.40,1.80,3.60,216.00
K4150606,CFBG01,CONTROL FREAK EYE BROW GEL - CLR,800897824888,72,72,4.20,1.40,2.80,201.60
K2983302,CSWSC02,CAN'T STP WON'T STP CNCLR-ALBSTR,800897168568,216,216,5.70,1.90,3.80,820.80
K2983402,CSWSC04,CAN'T STP WON'T STP CN CNCLRL IVR,80089716857,72,72,5.70,1.90,3.80,273.60
K2983502,CSWSC06,CAN'T STP WON'T STP CN CNCLRL-VANILLA,80089716858,72,72,5.70,1.90,3.80,273.60
K2983602,CSWSC07,CAN'T STP WON'T STP CN CNCLRL-NATURL,80089716859,216,216,5.70,1.90,3.80,820.80
K2983902,CSWSC09,CAN'T STP WON'T STP CN CNCLRL-MD OLIV,80089716862,216,216,5.70,1.90,3.80,820.80
K2983202,CSWSC1.5,CAN'T STP WON'T STP CN CNCLRL-FAIR,80089716855,144,144,5.70,1.90,3.80,547.20
K2984002,CSWSC10.3,CAN'T STP WON'T STP CN CNCLRL-NTR BF,80089716863,360,360,5.70,1.90,3.80,"1,368.00"
K2984102,CSWSC11,CAN'T STP WON'T STP CN CNCLRL-BEIGE,80089716864,144,144,5.70,1.90,3.80,547.20
K2984202,CSWSC12.7,CAN'T STP WON'T STP CN CNCLRL-NTR TN,80089716865,360,360,5.70,1.90,3.80,"1,368.00"
K2984302,CSWSC13,CAN'T STP WON'T STP CN CNCLRL-GOLDEN,80089716866,216,216,5.70,1.90,3.80,820.80
K2984402,CSWSC14,CAN'T STP WON'T STP CN CNCLRL-GLDN HN,80089716867,216,216,5.70,1.90,3.80,820.80
K2984502,CSWSC15,CAN'T STP WON'T STP CN CNCLRL-CARAMEL,80089716868,216,216,5.70,1.90,3.80,820.80
K2984602,CSWSC15.7,CAN'T STP WON'T STP CN CNCLRL-WARM,80089716869,144,144,5.70,1.90,3.80,547.20
K2984702,CSWSC15.9,CAN'T STP WON'T STP CN CNCLRL-WARM HNY,80089716870,144,144,5.70,1.90,3.80,547.20
K2984802,CSWSC16,CAN'T STP WON'T STP CN CNCLRL-MAHGNY,80089716871,72,72,5.70,1.90,3.80,273.60
K2984902,CSWSC17,CAN'T STP WON'T STP CN CNCLRL-CAPUCNO,80089716872,216,216,5.70,1.90,3.80,820.80
K2985002,CSWSC19,CAN'T STP WON'T STP CN CNCLRL-MOCHA,80089716873,72,72,5.70,1.90,3.80,273.60
K2985102,CSWSC22,CAN'T STP WON'T STP CN CNCLRL-DEEP,80089716874,216,216,5.70,1.90,3.80,820.80
K2985302,CSWSC22.7,CAN'T STP WON'T STP CN CNCLRL-DP WLM,80089716876,144,144,5.70,1.90,3.80,547.20
K2985402,CSWSC24,CAN'T STP WON'T STP CN CNCLRL-DP ESP,80089716877,144,144,5.70,1.90,3.80,547.20
K2983702,CSWS7.5,CAN'T STP WON'T STP CN CNCLR-SFT,800897168605,72,72,5.70,1.90,3.80,273.60
K2915903,CSWSF10,CAN'T STOP WONT STOP 24HR F-BUFF,800897157272,30,30,9.00,3.00,6.00,180.00
